Feat ID,RT,DT,CCS,Gas,mz,Abundance,Charge,Polarity,Lipid Class,Compound Name,CAS ID,Formula,Mass,Ion Species,Theo mz,ppm Error,Abs ppm Error,Score,Sum Comp,Num Constit,Constit,Constit Abund
45,8.094,,,,828.5764,654048,-1,Negative,Phosphatidylcholine,PC 16:0_20:3,,C44H82NO8P,783.5778,(M+CHO2)-,828.5760,0.5,0.5,94.45,PC 36:3,3,PC 16:0/20:3,61.4
46,0.582,,,,187.0423,638704,-1,Negative,,,,,188.0496,(M-H)-,,,,,,
47,12.042,,,,762.6233,608164,-1,Negative,,,,,763.6305,(M-H)-,,,,,,
48,6.746,,,,588.4671,601676,-1,Negative,,,,,589.4744,(M-H)-,,,,,,
49,8.631,,,,887.5659,596930,-1,Negative,Phosphatidylinositol,PI 18:0_20:3,,C47H85O13P,888.5728,(M-H)-,887.5655,0.5,0.5,96.52,PI 38:3,1,PI 18:0/20:3,100.0
50,3.163,,,,599.3205,571471,-1,Negative,Lysophosphatidylinositol,LPI 18:0,,C27H53O12P,600.3275,(M-H)-,599.3202,0.4,0.4,86.71,LPI 18:0,1,LPI 18:0,100.0
51,7.139,,,,857.5188,536450,-1,Negative,Phosphatidylinositol,PI 16:0_20:4,,C45H79O13P,858.5258,(M-H)-,857.5186,0.3,0.3,89.53,PI 36:4,2,PI 16:0/20:4,60.7
52,13.373,,,,1449.9807,535176,-1,Negative,Cardiolipin,CL 72:7,,C81H144O17P2,1450.9879,(M-H)-,1449.9806,0.1,0.1,89.56,CL 72:7,59,,
53,11.693,,,,680.6203,528523,-1,Negative,,,,,681.6276,(M-H)-,,,,,,
54,8.375,,,,722.5133,523308,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_20:4,,C41H74NO7P,723.5203,(M-H)-,722.5130,0.5,0.5,97.55,EtherPE 36:5e,1,EtherPE 16:1e/20:4,100.0
55,6.306,,,,819.5186,503741,-1,Negative,Phosphatidylglycerol,PG 18:1_22:6,,C46H77O10P,820.5254,(M-H)-,819.5182,0.5,0.5,88.59,PG 40:7,3,PG 18:1/22:6,65.3
56,7.117,,,,782.4981,495582,-1,Negative,Phosphatidylserine,PS 16:0_20:4,,C42H74NO10P,783.5050,(M-H)-,782.4978,0.4,0.4,82.41,PS 36:4,2,PS 16:0/20:4,68.4
57,9.284,,,,750.5446,486397,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_20:4,,C43H78NO7P,751.5516,(M-H)-,750.5443,0.4,0.4,97.80,EtherPE 38:5e,1,EtherPE 18:1e/20:4,100.0
58,7.627,,,,909.5508,486132,-1,Negative,Phosphatidylinositol,PI 18:0_22:6,,C49H83O13P,910.5571,(M-H)-,909.5499,1.0,1.0,94.76,PI 40:6,1,PI 18:0/22:6,100.0
59,10.899,,,,845.6757,485867,-1,Negative,Sphingomyelin,SM d41:1,,C46H93N2O6P,800.6771,(M+CHO2)-,845.6753,0.4,0.4,96.97,SM d41:1,31,,
60,0.575,,,,512.2692,470514,-1,Negative,,,,,513.2764,(M-H)-,,,,,,
61,9.254,,,,768.5552,457819,-1,Negative,Phosphatidylethanolamine,PE 18:0_20:3,,C43H80NO8P,769.5622,(M-H)-,768.5549,0.4,0.4,92.56,PE 38:3,4,PE 18:0/20:3,65.8
62,11.324,,,,734.5919,456892,-1,Negative,,,,,735.5992,(M-H)-,,,,,,
63,3.804,,,,303.2332,454044,-1,Negative,,,,,304.2404,(M-H)-,,,,,,
64,6.961,,,,800.5449,451768,-1,Negative,Phosphatidylcholine,PC 16:1_18:2,,C42H78NO8P,755.5465,(M+CHO2)-,800.5447,0.3,0.3,92.08,PC 34:3,1,PC 16:1/18:2,100.0
65,13.783,,,,1451.9965,449368,-1,Negative,Cardiolipin,CL 72:6,,C81H146O17P2,1453.0035,(M-H)-,1451.9962,0.2,0.2,91.10,CL 72:6,47,,
66,7.425,,,,876.5764,443202,-1,Negative,Phosphatidylcholine,PC 18:1_22:6,,C48H82NO8P,831.5778,(M+CHO2)-,876.5760,0.4,0.4,92.61,PC 40:7,2,PC 18:1/22:6,71.2
67,1.340,,,,619.2892,443135,-1,Negative,Lysophosphatidylinositol,LPI 20:4,,C29H49O12P,620.2962,(M-H)-,619.2889,0.5,0.5,92.61,LPI 20:4,1,LPI 20:4,100.0
68,7.021,,,,824.5448,437878,-1,Negative,Phosphatidylcholine,PC 16:0_20:5,,C44H78NO8P,779.5465,(M+CHO2)-,824.5447,0.1,0.1,85.12,PC 36:5,2,PC 16:0/20:5,66.3
69,10.486,,,,638.5732,431219,-1,Negative,,,,,639.5805,(M-H)-,,,,,,
70,7.446,,,,871.5346,424210,-1,Negative,Phosphatidylinositol,PI 17:0_20:4,,C46H81O13P,872.5415,(M-H)-,871.5342,0.4,0.4,96.88,PI 37:4,1,PI 17:0/20:4,100.0
71,9.784,,,,744.5551,415632,-1,Negative,Phosphatidylethanolamine,PE 18:0_18:1,,C41H80NO8P,745.5622,(M-H)-,744.5549,0.3,0.3,91.41,PE 36:1,1,PE 18:0/18:1,100.0
72,11.689,,,,748.6076,400705,-1,Negative,,,,,749.6149,(M-H)-,,,,,,
73,8.221,,,,764.5238,400550,-1,Negative,Phosphatidylethanolamine,PE 38:5,,C43H76NO8P,765.5309,(M-H)-,764.5236,0.3,0.3,94.38,PE 38:5,3,,
74,11.093,,,,910.6605,396932,-1,Negative,,,,,911.6678,(M-H)-,,,,,,
75,7.996,,,,747.5180,396913,-1,Negative,Phosphatidylglycerol,PG 16:0_18:1,,C40H77O10P,748.5254,(M-H)-,747.5182,-0.2,0.2,80.60,PG 34:1,1,PG 16:0/18:1,100.0
76,10.393,,,,664.5889,391031,-1,Negative,,,,,665.5961,(M-H)-,,,,,,
77,6.708,,,,760.4926,390155,-1,Negative,Phosphatidylethanolamine,PE 16:1_22:6,,C43H72NO8P,761.4996,(M-H)-,760.4923,0.5,0.5,89.15,PE 38:7,1,PE 16:1/22:6,100.0
78,9.031,,,,856.6078,381618,-1,Negative,Phosphatidylcholine,PC 18:0_20:3,,C46H86NO8P,811.6091,(M+CHO2)-,856.6073,0.6,0.6,93.94,PC 38:3,2,PC 18:0/20:3,72.7
79,4.479,,,,281.2488,379503,-1,Negative,Free fatty acid,FA 18:1,,C18H34O2,282.2559,(M-H)-,281.2486,0.5,0.5,98.47,FA 18:1,1,FA 18:1,100.0
80,6.657,,,,874.5605,379218,-1,Negative,Phosphatidylcholine,PC 18:2_22:6,,C48H80NO8P,829.5622,(M+CHO2)-,874.5604,0.1,0.1,90.79,PC 40:8,2,PC 18:2/22:6,73.6
81,7.186,,,,762.5082,374880,-1,Negative,Phosphatidylethanolamine,PE 18:2_20:4,,C43H74NO8P,763.5152,(M-H)-,762.5079,0.3,0.3,92.32,PE 38:6,1,PE 18:2/20:4,100.0
82,8.934,,,,716.5242,372975,-1,Negative,Phosphatidylethanolamine,PE 16:0_18:1,,C39H76NO8P,717.5309,(M-H)-,716.5236,0.9,0.9,95.47,PE 34:1,1,PE 16:0/18:1,100.0
83,11.108,,,,842.6730,361425,-1,Negative,Hexosylceramide non-hydroxyfatty acid-dihydrosphingosine,HexCer_NDS d41:1,,C47H91NO8,797.6745,(M+CHO2)-,842.6727,0.4,0.4,94.52,HexCer_NDS d41:1,15,,
84,10.514,,,,664.5889,359131,-1,Negative,,,,,665.5962,(M-H)-,,,,,,
85,8.983,,,,788.5452,358978,-1,Negative,Phosphatidylserine,PS 18:0_18:1,,C42H80NO10P,789.5520,(M-H)-,788.5447,0.7,0.7,82.46,PS 36:1,2,PS 18:0/18:1,68.7
86,7.236,,,,736.4925,357486,-1,Negative,Phosphatidylethanolamine,PE 16:0_20:5,,C41H72NO8P,737.4996,(M-H)-,736.4923,0.4,0.4,92.76,PE 36:5,1,PE 16:0/20:5,100.0
87,7.128,,,,826.5605,356529,-1,Negative,Phosphatidylcholine,PC 18:2_18:2,,C44H80NO8P,781.5622,(M+CHO2)-,826.5604,0.1,0.1,95.85,PC 36:4,2,PC 18:2/18:2,71.1
88,6.506,,,,848.5450,352921,-1,Negative,Phosphatidylcholine,PC 16:1_22:6,,C46H78NO8P,803.5465,(M+CHO2)-,848.5447,0.4,0.4,93.57,PC 38:7,4,PC 16:1/22:6,53.0
89,7.195,,,,712.4926,352861,-1,Negative,Phosphatidylethanolamine,PE 16:1_18:2,,C39H72NO8P,713.4996,(M-H)-,712.4923,0.4,0.4,94.08,PE 34:3,1,PE 16:1/18:2,100.0
90,8.219,,,,786.5292,347468,-1,Negative,Phosphatidylserine,PS 18:0_18:2,,C42H78NO10P,787.5363,(M-H)-,786.5291,0.2,0.2,80.13,PS 36:2,2,PS 18:0/18:2,78.8
91,1.816,,,,564.3311,346332,-1,Negative,Lysophophatidylcholine,LPC 18:2/0:0,,C26H50NO7P,519.3325,(M+CHO2)-,564.3307,0.7,0.7,98.20,LPC 18:2,1,LPC 18:2,100.0
92,7.725,,,,852.5769,344689,-1,Negative,Phosphatidylcholine,PC 18:1_20:4,,C46H82NO8P,807.5778,(M+CHO2)-,852.5760,1.1,1.1,94.38,PC 38:5,3,PC 18:1/20:4,56.3
93,8.061,,,,575.5386,324918,-1,Negative,,,,,576.5459,(M-H)-,,,,,,
94,7.911,,,,828.5762,322174,-1,Negative,Phosphatidylcholine,PC 18:1_18:2,,C44H82NO8P,783.5778,(M+CHO2)-,828.5760,0.2,0.2,92.68,PC 36:3,1,PC 18:1/18:2,100.0
95,8.383,,,,899.5657,318029,-1,Negative,Phosphatidylinositol,PI 19:0_20:4,,C48H85O13P,900.5728,(M-H)-,899.5655,0.3,0.3,97.35,PI 39:4,2,PI 19:0/20:4,56.0
96,7.293,,,,745.5028,313925,-1,Negative,Phosphatidylglycerol,PG 16:0_18:2,,C40H75O10P,746.5098,(M-H)-,745.5025,0.4,0.4,76.29,PG 34:2,2,PG 16:0/18:2,61.0
97,10.604,,,,854.6728,312298,-1,Negative,Hexosylceramide non-hydroxyfatty acid-dihydrosphingosine,HexCer_NDS d42:2,,C48H91NO8,809.6745,(M+CHO2)-,854.6727,0.2,0.2,94.14,HexCer_NDS d42:2,7,,
98,10.715,,,,828.6574,308770,-1,Negative,Hexosylceramide non-hydroxyfatty acid-dihydrosphingosine,HexCer_NDS d40:1,,C46H89NO8,783.6588,(M+CHO2)-,828.6570,0.4,0.4,94.26,HexCer_NDS d40:1,14,,
99,7.310,,,,762.5082,308536,-1,Negative,Phosphatidylethanolamine,PE 18:1_20:5,,C43H74NO8P,763.5152,(M-H)-,762.5079,0.3,0.3,91.55,PE 38:6,1,PE 18:1/20:5,100.0
100,8.388,,,,748.5288,306721,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:2e_20:4,,C43H76NO7P,749.5359,(M-H)-,748.5287,0.2,0.2,96.98,EtherPE 38:6e,2,EtherPE 18:2e/20:4,65.8
101,10.800,,,,678.6044,299647,-1,Negative,,,,,679.6116,(M-H)-,,,,,,
102,5.670,,,,817.5028,299535,-1,Negative,Phosphatidylglycerol,PG 18:2_22:6,,C46H75O10P,818.5098,(M-H)-,817.5025,0.3,0.3,88.88,PG 40:8,3,PG 18:2/22:6,70.7
103,8.999,,,,774.5448,296210,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_22:6,,C45H78NO7P,775.5516,(M-H)-,774.5443,0.6,0.6,89.67,EtherPE 40:7e,2,EtherPE 18:1e/22:6,81.6
104,2.670,,,,452.2785,294980,-1,Negative,Lysophosphatidylethanolamine,LPE 16:0,,C21H44NO7P,453.2855,(M-H)-,452.2783,0.6,0.6,97.20,LPE 16:0,1,LPE 16:0,100.0
105,12.878,,,,1421.9496,293871,-1,Negative,Cardiolipin,CL 70:7,,C79H140O17P2,1422.9566,(M-H)-,1421.9493,0.2,0.2,89.33,CL 70:7,85,,
106,6.935,,,,850.5605,292915,-1,Negative,Phosphatidylcholine,PC 18:2_20:4,,C46H80NO8P,805.5622,(M+CHO2)-,850.5604,0.1,0.1,93.42,PC 38:6,2,PC 18:2/20:4,65.3
107,10.705,,,,896.6448,292079,-1,Negative,,,,,897.6521,(M-H)-,,,,,,
108,8.069,,,,746.5131,291353,-2,Negative,,,,,1495.0408,(M-2H)-2,,,,,,
109,8.586,,,,778.5607,282524,-1,Negative,Phosphatidylcholine,PC 16:0_16:0,,C40H80NO8P,733.5622,(M+CHO2)-,778.5604,0.4,0.4,95.70,PC 32:0,2,PC 16:0/16:0,74.1
110,10.621,,,,922.6602,280384,-1,Negative,,,,,923.6675,(M-H)-,,,,,,
111,11.171,,,,682.5912,277586,-1,Negative,,,,,683.5984,(M-H)-,,,,,,
112,6.697,,,,771.5183,275198,-1,Negative,Phosphatidylglycerol,PG 18:1_18:2,,C42H77O10P,772.5254,(M-H)-,771.5182,0.2,0.2,76.45,PG 36:3,1,PG 18:1/18:2,100.0
113,7.175,,,,823.5496,266404,-1,Negative,Phosphatidylglycerol,PG 18:1_22:4,,C46H81O10P,824.5567,(M-H)-,823.5495,0.1,0.1,85.19,PG 40:5,6,PG 18:1/22:4,41.2
114,10.190,,,,728.5600,259161,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_18:1,,C41H80NO7P,729.5672,(M-H)-,728.5600,0.1,0.1,97.17,EtherPE 36:2e,3,EtherPE 18:1e/18:1,65.8
115,7.414,,,,773.5340,257990,-1,Negative,Phosphatidylglycerol,PG 18:1_18:1,,C42H79O10P,774.5411,(M-H)-,773.5338,0.3,0.3,92.23,PG 36:2,3,PG 18:1/18:1,65.4
116,6.865,,,,786.5081,257316,-1,Negative,Phosphatidylethanolamine,PE 18:2_22:6,,C45H74NO8P,787.5152,(M-H)-,786.5079,0.3,0.3,91.42,PE 40:8,2,PE 18:2/22:6,81.9
117,9.425,,,,1454.8743,256201,-1,Negative,,,,,1455.8816,(M-H)-,,,,,,
118,13.297,,,,1423.9648,248597,-1,Negative,Cardiolipin,CL 70:6,,C79H142O17P2,1424.9722,(M-H)-,1423.9649,-0.1,0.1,92.79,CL 70:6,54,,
119,3.916,,,,480.3100,248127,-1,Negative,Lysophosphatidylethanolamine,LPE 18:0,,C23H48NO7P,481.3168,(M-H)-,480.3096,0.8,0.8,97.34,LPE 18:0,1,LPE 18:0,100.0
120,9.206,,,,792.5553,245966,-1,Negative,Phosphatidylethanolamine,PE 18:0_22:5,,C45H80NO8P,793.5622,(M-H)-,792.5549,0.5,0.5,76.13,PE 40:5,1,PE 18:0/22:5,100.0
121,10.435,,,,758.5918,244033,-1,Negative,,,,,759.5991,(M-H)-,,,,,,
122,6.779,,,,824.5449,243107,-1,Negative,Phosphatidylcholine,PC 16:1_20:4,,C44H78NO8P,779.5465,(M+CHO2)-,824.5447,0.2,0.2,93.97,PC 36:5,3,PC 16:1/20:4,73.9
123,2.807,,,,566.3466,242260,-1,Negative,Lysophophatidylcholine,LPC 18:1/0:0,,C26H52NO7P,521.3481,(M+CHO2)-,566.3463,0.4,0.4,95.85,LPC 18:1,1,LPC 18:1,100.0
124,7.366,,,,738.5083,241229,-1,Negative,Phosphatidylethanolamine,PE 18:2_18:2,,C41H74NO8P,739.5152,(M-H)-,738.5079,0.6,0.6,96.05,PE 36:4,1,PE 18:2/18:2,100.0
125,3.249,,,,301.2176,238663,-1,Negative,,,,,302.2248,(M-H)-,,,,,,
126,2.702,,,,473.2831,236747,-1,Negative,,,,,474.2904,(M-H)-,,,,,,
127,9.433,,,,888.6244,236489,-1,Negative,Sulfatide,SHexCer d42:2,,C48H91NO11S,889.6313,(M-H)-,888.6240,0.5,0.5,99.12,SHexCer d42:2,23,,
128,8.450,,,,812.5449,235112,-1,Negative,Phosphatidylserine,PS 18:0_20:3,,C44H80NO10P,813.5520,(M-H)-,812.5447,0.2,0.2,77.53,PS 38:3,1,PS 18:0/20:3,100.0
129,8.187,,,,773.5338,223961,-1,Negative,Phosphatidylglycerol,PG 18:0_18:2,,C42H79O10P,774.5411,(M-H)-,773.5338,0.0,0.0,77.18,PG 36:2,2,PG 18:0/18:2,63.9
130,7.311,,,,800.5450,222529,-1,Negative,Phosphatidylcholine,PC 16:0_18:3,,C42H78NO8P,755.5465,(M+CHO2)-,800.5447,0.3,0.3,94.10,PC 34:3,2,PC 16:0/18:3,88.6
131,9.597,,,,610.5416,222380,-1,Negative,,,,,611.5489,(M-H)-,,,,,,
132,11.161,,,,709.6101,219129,-1,Negative,,,,,710.6174,(M-H)-,,,,,,
133,10.792,,,,746.5917,217061,-1,Negative,,,,,747.5990,(M-H)-,,,,,,
134,4.620,,,,465.3047,214224,-1,Negative,,,,,466.3119,(M-H)-,,,,,,
135,9.573,,,,768.5548,211791,-1,Negative,Phosphatidylethanolamine,PE 18:0_20:3,,C43H80NO8P,769.5622,(M-H)-,768.5549,0.0,0.0,90.04,PE 38:3,1,PE 18:0/20:3,100.0
136,6.687,,,,881.5187,210386,-1,Negative,Phosphatidylinositol,PI 38:6,,C47H79O13P,882.5258,(M-H)-,881.5186,0.2,0.2,96.81,PI 38:6,3,,
137,9.321,,,,780.5549,208127,-1,Negative,Phosphatidylethanolamine,PE 19:0_20:4,,C44H80NO8P,781.5622,(M-H)-,780.5549,0.0,0.0,87.68,PE 39:4,1,PE 19:0/20:4,100.0
138,1.769,,,,588.3308,207915,-1,Negative,Lysophophatidylcholine,LPC 20:4/0:0,,C28H50NO7P,543.3325,(M+CHO2)-,588.3307,0.2,0.2,97.09,LPC 20:4,1,LPC 20:4,100.0
139,11.482,,,,856.6886,206737,-1,Negative,Hexosylceramide non-hydroxyfatty acid-dihydrosphingosine,HexCer_NDS d42:1,,C48H93NO8,811.6901,(M+CHO2)-,856.6883,0.4,0.4,94.61,HexCer_NDS d42:1,16,,
140,3.917,,,,279.2332,203811,-1,Negative,Free fatty acid,FA 18:2,,C18H32O2,280.2402,(M-H)-,279.2330,0.8,0.8,93.42,FA 18:2,1,FA 18:2,100.0
141,8.416,,,,752.5237,203126,-1,Negative,Phosphatidylethanolamine,PE 17:0_20:4,,C42H76NO8P,753.5309,(M-H)-,752.5236,0.1,0.1,93.64,PE 37:4,1,PE 17:0/20:4,100.0
142,10.152,,,,778.5757,199934,-1,Negative,,,,,779.5830,(M-H)-,,,,,,
143,7.143,,,,808.5134,199315,-1,Negative,Phosphatidylserine,PS 18:1_20:4,,C44H76NO10P,809.5207,(M-H)-,808.5134,0.0,0.0,83.42,PS 38:5,2,PS 18:1/20:4,67.2
144,9.363,,,,700.5287,192724,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_18:1,,C39H76NO7P,701.5359,(M-H)-,700.5287,0.0,0.0,96.63,EtherPE 34:2e,2,EtherPE 16:1e/18:1,65.2
145,9.359,,,,768.5550,190229,-1,Negative,,,,,769.5623,(M-H)-,,,,,,
146,9.358,,,,1480.8891,189901,-1,Negative,,,,,1481.8964,(M-H)-,,,,,,
